,0
1155,italian
1156,italian
1157,mexican
1158,french
1159,mexican
1160,mexican
1161,italian
1162,irish
1163,french
1164,french
1165,italian
1166,southern_us
1167,mexican
1168,italian
1169,jamaican
1170,french
1171,irish
1172,french
1173,southern_us
1174,italian
1175,french
1176,mexican
1177,british
1178,southern_us
1179,british
1180,southern_us
1181,french
1182,british
1183,southern_us
1184,italian
1185,french
1186,southern_us
1187,french
1188,italian
1189,southern_us
1190,italian
1191,southern_us
1192,greek
1193,french
1194,french
1195,moroccan
1196,cajun_creole
1197,indian
1198,irish
1199,italian
1200,british
1201,italian
1202,southern_us
1203,russian
1204,italian
1205,spanish
1206,southern_us
1207,british
1208,mexican
1209,mexican
1210,chinese
1211,southern_us
1212,southern_us
1213,italian
1214,japanese
1215,french
1216,italian
1217,french
1218,french
1219,cajun_creole
1220,mexican
1221,mexican
1222,moroccan
1223,french
1224,italian
1225,southern_us
1226,italian
1227,moroccan
1228,brazilian
1229,filipino
1230,italian
1231,italian
1232,mexican
1233,mexican
1234,southern_us
1235,french
1236,british
1237,french
1238,southern_us
1239,french
1240,southern_us
1241,indian
1242,spanish
1243,southern_us
1244,italian
1245,chinese
1246,thai
1247,french
1248,french
1249,french
1250,southern_us
1251,french
1252,southern_us
1253,southern_us
1254,southern_us
1255,italian
1256,russian
1257,french
1258,mexican
1259,southern_us
1260,italian
1261,french
1262,mexican
1263,cajun_creole
1264,italian
1265,southern_us
1266,italian
1267,british
1268,italian
1269,chinese
1270,italian
1271,italian
1272,italian
1273,southern_us
1274,irish
1275,italian
1276,italian
1277,italian
1278,southern_us
1279,mexican
1280,italian
1281,french
1282,greek
1283,italian
1284,southern_us
1285,french
1286,greek
1287,irish
1288,italian
1289,french
1290,indian
1291,southern_us
1292,moroccan
1293,russian
1294,moroccan
1295,french
1296,french
1297,chinese
1298,french
1299,indian
1300,mexican
1301,vietnamese
1302,italian
1303,spanish
1304,indian
1305,indian
1306,indian
1307,french
1308,french
1309,french
1310,italian
1311,british
1312,french
1313,spanish
1314,french
1315,french
1316,spanish
1317,southern_us
1318,southern_us
1319,chinese
1320,french
1321,southern_us
1322,southern_us
1323,southern_us
1324,italian
1325,spanish
1326,indian
1327,korean
1328,french
1329,indian
1330,southern_us
1331,french
1332,italian
1333,french
1334,mexican
1335,british
1336,thai
1337,french
1338,british
1339,italian
1340,indian
1341,mexican
1342,southern_us
1343,mexican
1344,mexican
1345,italian
1346,greek
1347,spanish
1348,italian
1349,french
1350,french
1351,thai
1352,french
1353,italian
1354,french
1355,greek
1356,french
1357,chinese
1358,british
1359,french
1360,thai
1361,spanish
1362,cajun_creole
1363,french
1364,russian
1365,chinese
1366,british
1367,chinese
1368,italian
1369,mexican
1370,thai
1371,mexican
1372,spanish
1373,moroccan
1374,french
1375,southern_us
1376,italian
1377,chinese
1378,southern_us
1379,mexican
1380,italian
1381,mexican
1382,french
1383,french
1384,cajun_creole
1385,greek
1386,italian
1387,french
1388,italian
1389,french
1390,mexican
1391,french
1392,french
1393,spanish
1394,french
1395,french
1396,french
1397,moroccan
1398,french
1399,southern_us
1400,mexican
1401,french
1402,mexican
1403,southern_us
1404,irish
1405,italian
1406,southern_us
1407,mexican
1408,spanish
1409,cajun_creole
1410,italian
1411,greek
1412,southern_us
1413,french
1414,italian
1415,french
1416,southern_us
1417,french
1418,mexican
1419,jamaican
1420,italian
1421,russian
1422,thai
1423,italian
1424,mexican
1425,italian
1426,french
1427,mexican
1428,british
1429,french
1430,french
1431,french
1432,southern_us
1433,italian
1434,japanese
1435,moroccan
1436,southern_us
1437,french
1438,french
1439,southern_us
1440,southern_us
1441,spanish
1442,southern_us
1443,italian
1444,indian
1445,southern_us
1446,southern_us
1447,japanese
1448,southern_us
1449,indian
1450,italian
